Country,CO2 Emissions per capita (tons),"CO2 Emissions (tons, 2016)",Population-2016,Kg,KGCo2perYear,KgCO2perWeek
Cayman Islands,6.49,406057,62569,406057000,6489.747319,124.8028331
St. Vincent & Grenadines,3.31,362414,109459,362414000,3310.956614,63.67224257
Solomon Islands,0.55,341748,619438,341748000,551.7065469,10.60974129
Guinea-Bissau,0.18,318706,1782438,318706000,178.8034142,3.438527196
Lesotho,0.15,318438,2075030,318438000,153.4618777,2.951189955
Aruba,2.74,286871,104872,286871000,2735.439393,52.60460371
Gambia,0.12,254127,2149136,254127000,118.2461231,2.273963906
Tonga,2.49,251375,101133,251375000,2485.588285,47.79977471
Western Sahara,0.39,207592,538749,207592000,385.3222929,7.410044095
Saint Kitts & Nevis,3.93,203036,51625,203036000,3932.900726,75.63270628
Dominica,2.61,185767,71307,185767000,2605.172003,50.09946159
Samoa,0.87,169939,194535,169939000,873.5651682,16.79933016
Vanuatu,0.49,137706,278330,137706000,494.7580211,9.514577328
Comoros,0.14,108422,795592,108422000,136.278394,2.620738345
British Virgin Islands,3.4,99762,29355,99762000,3398.467041,65.35513541
Cabo Verde,0.19,99687,531146,99687000,187.6828593,3.609285756
Turks and Caicos,1.79,65451,36559,65451000,1790.284198,34.42854227
Sao Tome & Principe,0.28,56185,203227,56185000,276.4642493,5.31662018
Kiribati,0.47,52818,112524,52818000,469.3931961,9.026792233
Falkland Islands,16.59,48568,2928,48568000,16587.43169,318.989071
Palau,2.35,41732,17725,41732000,2354.414669,45.27720516
Cook Islands,2.13,37354,17524,37354000,2131.590961,40.99213386
Anguilla,2.1,30262,14429,30262000,2097.30404,40.33277001
Saint Helena,2.2,13128,5956,13128000,2204.163868,42.3877667
Saint Pierre & Miquelon,1.49,8842,5934,8842000,1490.057297,28.65494802
Faeroe Islands,0.04,1953,48173,1953000,40.5413821,0.779641964
Greenland,0.03,1530,56412,1530000,27.12188896,0.521574788
